Fresh_weight	Genotype	Treatment	
0,0184	f6h1	no_SC	
0,0159	f6h1	no_SC	
0,0207	f6h1	no_SC	
0,0183	f6h1	no_SC	
0,0203	f6h1	no_SC	
0,0207	f6h1	no_SC	
0,0151	f6h1	no_SC	
0,0242	f6h1	no_SC	
0,0355	f6h1	no_SC	
0,0214	f6h1	no_SC	
0,0172	f6h1	no_SC	
0,0158	f6h1	no_SC	
0,0206	f6h1	no_SC	
0,0273	f6h1	no_SC	
0,0284	f6h1	no_SC	
0,03	f6h1	no_SC	
0,014	f6h1	no_SC	
0,0228	f6h1	no_SC	
0,0163	f6h1	no_SC	
0,0151	f6h1	no_SC	
0,0241	f6h1	no_SC	
0,0101	f6h1	no_SC	
0,0264	f6h1	no_SC	
0,0268	f6h1	no_SC	
0,0209	f6h1	no_SC	
0,0243	f6h1	no_SC	
0,0311	f6h1	no_SC	
0,0317	f6h1	no_SC	
0,0378	f6h1	no_SC	
0,0248	f6h1	no_SC	
0,0349	f6h1	no_SC	
0,019	f6h1	no_SC	
0,0213	f6h1	no_SC	
0,0123	f6h1	no_SC	
0,0156	f6h1	no_SC	
0,0154	f6h1	no_SC	
0,0401	f6h1	no_SC	
0,0156	f6h1	no_SC	
0,0298	f6h1	no_SC	
0,0232	f6h1	no_SC	
0,0204	f6h1	no_SC	
0,0296	f6h1	no_SC	
0,0219	f6h1	no_SC	
0,0335	f6h1	no_SC	
0,028	f6h1	no_SC	
0,0138	f6h1	no_SC	
0,0166	f6h1	no_SC	
0,0234	f6h1	no_SC	
0,0264	f6h1	no_SC	
0,0183	f6h1	no_SC	
0,0273	f6h1	no_SC	
0,0284	f6h1	no_SC	
0,0271	f6h1	no_SC	
0,0225	f6h1	no_SC	
0,0214	f6h1	no_SC	
0,0232	f6h1	no_SC	
0,0174	f6h1	no_SC	
0,0278	f6h1	no_SC	
0,0228	f6h1	no_SC	
0,0142	f6h1	no_SC	
0,0263	WT	Lj_SC	
0,0198	WT	Lj_SC	
0,0288	WT	Lj_SC	
0,0204	WT	Lj_SC	
0,0223	WT	Lj_SC	
0,0219	WT	Lj_SC	
0,0108	WT	Lj_SC	
0,0181	WT	Lj_SC	
0,0136	WT	Lj_SC	
0,0075	WT	Lj_SC	
0,0192	WT	Lj_SC	
0,0273	WT	Lj_SC	
0,0188	WT	Lj_SC	
0,0209	WT	Lj_SC	
0,0273	WT	Lj_SC	
0,0201	WT	Lj_SC	
0,0122	WT	Lj_SC	
0,0151	WT	Lj_SC	
0,0286	WT	Lj_SC	
0,0136	WT	Lj_SC	
0,0146	WT	Lj_SC	
0,0157	WT	Lj_SC	
0,0072	WT	Lj_SC	
0,0198	WT	Lj_SC	
0,0245	WT	Lj_SC	
0,0317	WT	Lj_SC	
0,0391	WT	Lj_SC	
0,0189	WT	Lj_SC	
0,0302	WT	Lj_SC	
0,0232	WT	Lj_SC	
0,0138	WT	Lj_SC	
0,0286	WT	Lj_SC	
0,0262	WT	Lj_SC	
0,0201	WT	Lj_SC	
0,0188	WT	Lj_SC	
0,0286	WT	Lj_SC	
0,0212	WT	Lj_SC	
0,0116	WT	Lj_SC	
0,017	WT	Lj_SC	
0,0168	WT	Lj_SC	
0,0247	WT	Lj_SC	
0,0138	WT	Lj_SC	
0,0187	WT	Lj_SC	
0,022	WT	Lj_SC	
0,0307	WT	Lj_SC	
0,0124	WT	Lj_SC	
0,0163	WT	Lj_SC	
0,017	WT	Lj_SC	
0,0165	WT	Lj_SC	
0,0148	WT	Lj_SC	
0,0168	WT	Lj_SC	
0,0338	WT	Lj_SC	
0,0342	WT	Lj_SC	
0,0271	WT	Lj_SC	
0,0301	WT	Lj_SC	
0,0293	WT	Lj_SC	
0,0256	WT	Lj_SC	
0,0184	WT	Lj_SC	
0,0179	WT	Lj_SC	
0,0328	WT	Lj_SC	
0,0344	WT	Lj_SC	
0,0236	WT	Lj_SC	
0,03	WT	Lj_SC	
0,0346	WT	Lj_SC	
0,0351	WT	Lj_SC	
0,0254	WT	Lj_SC	
0,0248	WT	Lj_SC	
0,0312	WT	Lj_SC	
0,0267	WT	Lj_SC	
0,0359	WT	Lj_SC	
0,0416	WT	Lj_SC	
0,0373	WT	Lj_SC	
0,0232	WT	Lj_SC	
0,03	WT	Lj_SC	
0,0353	WT	Lj_SC	
0,0235	WT	Lj_SC	
0,0298	WT	Lj_SC	
0,0284	WT	Lj_SC	
0,0225	WT	Lj_SC	
0,0356	WT	Lj_SC	
0,0217	WT	Lj_SC	
0,0341	WT	Lj_SC	
0,0291	WT	Lj_SC	
0,0304	WT	Lj_SC	
0,0233	WT	Lj_SC	
0,0328	WT	Lj_SC	
0,027	WT	Lj_SC	
0,0231	WT	Lj_SC	
0,023	WT	Lj_SC	
0,03	WT	Lj_SC	
0,0198	WT	Lj_SC	
0,0179	WT	Lj_SC	
0,0235	WT	Lj_SC	
0,0248	WT	Lj_SC	
0,0246	WT	Lj_SC	
0,0157	symrk	Lj_SC	
0,015	symrk	Lj_SC	
0,0225	symrk	Lj_SC	
0,0158	symrk	Lj_SC	
0,0174	symrk	Lj_SC	
0,033	symrk	Lj_SC	
0,0116	symrk	Lj_SC	
0,0088	symrk	Lj_SC	
0,0354	symrk	Lj_SC	
0,0151	symrk	Lj_SC	
0,0351	symrk	Lj_SC	
0,021	symrk	Lj_SC	
0,0181	symrk	Lj_SC	
0,0199	symrk	Lj_SC	
0,0206	symrk	Lj_SC	
0,0231	symrk	Lj_SC	
0,0208	symrk	Lj_SC	
0,0093	symrk	Lj_SC	
0,0195	symrk	Lj_SC	
0,0251	symrk	Lj_SC	
0,0206	symrk	Lj_SC	
0,0163	symrk	Lj_SC	
0,0086	symrk	Lj_SC	
0,0294	symrk	Lj_SC	
0,0229	symrk	Lj_SC	
0,0261	symrk	Lj_SC	
0,0178	symrk	Lj_SC	
0,0314	symrk	Lj_SC	
0,0178	symrk	Lj_SC	
0,0125	symrk	Lj_SC	
0,0124	symrk	Lj_SC	
0,0203	symrk	Lj_SC	
0,0176	symrk	Lj_SC	
0,0276	symrk	Lj_SC	
0,0173	symrk	Lj_SC	
0,042	symrk	Lj_SC	
0,0161	symrk	Lj_SC	
0,016	symrk	Lj_SC	
0,0091	symrk	Lj_SC	
0,0161	symrk	Lj_SC	
0,0194	symrk	Lj_SC	
0,0312	symrk	Lj_SC	
0,0221	symrk	Lj_SC	
0,0122	symrk	Lj_SC	
0,0146	symrk	Lj_SC	
0,014	symrk	Lj_SC	
0,0197	symrk	Lj_SC	
0,0204	symrk	Lj_SC	
0,018	symrk	Lj_SC	
0,0383	symrk	Lj_SC	
0,0089	symrk	Lj_SC	
0,033	symrk	Lj_SC	
0,0194	symrk	Lj_SC	
0,0132	symrk	Lj_SC	
0,0169	symrk	Lj_SC	
0,0115	symrk	Lj_SC	
0,0087	symrk	Lj_SC	
0,0222	symrk	Lj_SC	
0,0313	symrk	Lj_SC	
0,0138	symrk	Lj_SC	
0,0105	symrk	Lj_SC	
0,0103	symrk	Lj_SC	
0,0229	symrk	Lj_SC	
0,0246	symrk	Lj_SC	
0,0214	symrk	Lj_SC	
0,0109	symrk	Lj_SC	
0,0129	symrk	Lj_SC	
0,0139	symrk	Lj_SC	
0,0093	symrk	Lj_SC	
0,0528	symrk	Lj_SC	
0,0246	symrk	Lj_SC	
0,0249	symrk	Lj_SC	
0,0083	symrk	Lj_SC	
0,0331	symrk	Lj_SC	
0,023	symrk	Lj_SC	
0,0135	symrk	Lj_SC	
0,0319	symrk	Lj_SC	
0,0124	symrk	Lj_SC	
0,0229	symrk	Lj_SC	
0,0171	symrk	Lj_SC	
0,0136	symrk	Lj_SC	
0,0135	symrk	Lj_SC	
0,0208	symrk	Lj_SC	
0,0169	symrk	Lj_SC	
0,0162	symrk	Lj_SC	
0,0163	symrk	Lj_SC	
0,0218	symrk	Lj_SC	
0,0192	symrk	Lj_SC	
0,02	symrk	Lj_SC	
0,0163	symrk	Lj_SC	
0,0199	symrk	Lj_SC	
0,019	symrk	Lj_SC	
0,0133	symrk	Lj_SC	
0,0161	ccamk	Lj_SC	
0,016	ccamk	Lj_SC	
0,0345	ccamk	Lj_SC	
0,0318	ccamk	Lj_SC	
0,0401	ccamk	Lj_SC	
0,0162	ccamk	Lj_SC	
0,0165	ccamk	Lj_SC	
0,0233	ccamk	Lj_SC	
0,0196	ccamk	Lj_SC	
0,0136	ccamk	Lj_SC	
0,0239	ccamk	Lj_SC	
0,0433	ccamk	Lj_SC	
0,0395	ccamk	Lj_SC	
0,0246	ccamk	Lj_SC	
0,0202	ccamk	Lj_SC	
0,0219	ccamk	Lj_SC	
0,027	ccamk	Lj_SC	
0,0171	ccamk	Lj_SC	
0,0204	ccamk	Lj_SC	
0,0253	ccamk	Lj_SC	
0,0172	ccamk	Lj_SC	
0,0204	ccamk	Lj_SC	
