ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,kingdom,phylum,class,order,family,genus,Lj_Gifu_LjSC_1_endo,Lj_Gifu_LjSC_2_endo,Lj_Gifu_LjSC_3_endo,Lj_Gifu_LjSC_4_endo,Lj_symrk_LjSC_1_endo,Lj_symrk_LjSC_2_endo,Lj_symrk_LjSC_3_endo,Lj_symrk_LjSC_4_endo,Lj_ccamk_LjSC_1_endo,Lj_ccamk_LjSC_2_endo,Lj_ccamk_LjSC_3_endo,Lj_ccamk_LjSC_4_endo,Lj_nsp1_LjSC_1_endo,Lj_nsp1_LjSC_2_endo,Lj_nsp1_LjSC_3_endo,Lj_nsp1_LjSC_4_endo,Lj_nsp2_LjSC_1_endo,Lj_nsp2_LjSC_2_endo,Lj_nsp2_LjSC_3_endo,Lj_nsp2_LjSC_4_endo
LjRoot1,-0.296266381199243,-0.994627492556723,-0.168635369312329,-0.92301080381876,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,0.00127472850734195,0.00148179963491893,0.00164481413600263,0.00114678899082569,0.00116794745929111,0.00103288868734963,0.00128787878787879,0.0010085936293933,0.000984765104558883,0,0.00110985924966788,0.000710336946786497,0.000640471386940788,0.00200720659718024,0.000719343598965944,0.00239808153477218,0.000582198047141408,0.000682244584683609,0.00103485111496862,0.000670728299144821
LjRoot10,-0.797691187913456,0.0145703840381606,-1.88374857086148,-0.972633159874506,0,0,-1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,0.00312553624396343,0.00298507462686567,0.00249071854880399,0.00737542723511423,0.00123565455838045,0.00168789126957135,0.00150252525252525,0.00598981114598878,0.00564791751144065,0.00219106047326906,0.00376679502917585,0.00382964266963155,0.00100874243443174,0.00106406132862567,0.00170844104754412,0,0.00241196333815726,0.00228125533003582,0.00190279075978101,0.00110390699234252
LjRoot100,,,,,,,,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0,0,0,0,0,2.51924070085276e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LjRoot11,-0.177757629018955,-0.0721704239099566,0.618802481800028,-0.0427223930622629,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0.00230431691711813,0.00261999355739289,0.00126885661920203,0.00206871739521497,0.00123565455838045,0.00102029248384537,0.00199494949494949,0.00384912262646015,0.00338875050686439,0.00131463628396144,0.00132846788975398,0.00219277927051484,0.00185736702212829,0.00140262629682474,0.00305721029560526,0.0109912070343725,0.00242859756807559,0.00300614020126215,0.00176926158365603,0.00108993348611033
LjRoot122,0.33743266117692,1.93721811505946,-0.446354937373437,0.331688194634988,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,0.00496408697570662,0.00261999355739289,0.0019972743080032,0.00150656592912394,0.00135414198178679,0.00119663933290506,0.00205808080808081,0.0299078886430299,0.016943752534322,0.00323181419807187,0.0144113541964451,0.0106704963093363,0.000752553879655426,0.00215230586926556,0.00112397437338429,0.00619504396482814,0.00452451053778465,0.00172693160498039,0.00303778875684337,0.0041361578447264
LjRoot149,0.249186599724188,1.43642639958505,1.32154960221458,0.365995334831088,0,1,1,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,0.0850268428406834,0.0391925265757543,0.0613750646176982,0.0499415362475265,0.051457395307898,0.0524757837987631,0.0615151515151515,0.122708794318942,0.149481550136129,0.0922984224364592,0.157196428271142,0.25278730041076,0.131232587184168,0.113612730042804,0.178622007418231,0.148681055155875,0.125355556664504,0.0816348285860481,0.0764454533315529,0.0360236990665698
LjRoot152,1.28097189272217,0.612337927358068,-0.0519441524263013,-0.720098025286755,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.000392224156105214,0,0,0.000584637524734665,0.000457022918853042,0,0.000934343434343434,0.0023362321823702,0.00115854718183398,0,0,0.00108094752771858,0.000432318186185032,0.000459481028270175,0,0,0.000249513448774889,0,0,0
LjRoot153,,,,,,,,,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LjRoot17,-0.25359707065918,0.495181360627133,0.0230318059423099,-0.2419751336382,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,0.0187654744686588,0.0183184795447224,0.0157667183608252,0.0104785033279367,0.00678763668370629,0.00479915353512451,0.0110984848484848,0.0777646271805691,0.0350170885709321,0.0109553023663453,0.0307229219567155,0.0190246764878471,0.0116886028116694,0.0181132257986506,0.0111048668090368,0.0255795363709033,0.0202438578106027,0.0115981579396214,0.015889971958873,0.00778324297132637
LjRoot18,0.307595020787255,-1.49721404203753,0.990895223662921,1.47353143907524,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dyella,0.00323584928786802,0.00176097927628047,0.00552187602800884,0.00301313185824789,0.00319916043197129,0.00859061078990792,0.00289141414141414,0.00279936191015283,0.00060823727046284,0.00679228746713409,0.00146299628365312,0.00024707372062139,0.00520383001889391,0.00689221542405262,0.00539507699224458,0.00759392486011191,0.00422509439925479,0.0134103701176872,0.0162237948991855,0.00613436923592868
