Fresh_weight	Plant_species	Genotype	Soil_type
0.0479	Lotus	nsp2	PK
0.023	Lotus	nsp2	PK
0.0295	Lotus	nsp2	PK
0.0286	Lotus	nsp2	PK
0.038	Lotus	nsp2	PK
0.0362	Lotus	nsp2	PK
0.0258	Lotus	nsp2	PK
0.019	Lotus	nsp2	PK
0.0126	Lotus	nsp2	PK
0.0266	Lotus	nsp2	PK
0.0282	Lotus	nsp2	PK
0.028	Lotus	nsp2	PK
0.024	Lotus	nsp2	PK
0.017	Lotus	nsp2	PK
0.021	Lotus	nsp2	PK
0.0133	Lotus	nsp2	PK
0.0358	Lotus	nsp2	PK
0.0266	Lotus	nsp2	PK
0.031	Lotus	nsp2	PK
0.0308	Lotus	nsp2	PK
0.0305	Lotus	nsp2	PK
0.0314	Lotus	nsp2	PK
0.0153	Lotus	nsp2	PK
0.0257	Lotus	nsp2	PK
0.0272	Lotus	nsp2	PK
0.0307	Lotus	nsp2	PK
0.0323	Lotus	nsp2	PK
0.0281	Lotus	nsp2	PK
0.0343	Lotus	nsp2	PK
0.0257	Lotus	nsp2	PK
0.0361	Lotus	nsp2	PK
0.0178	Lotus	nsp2	PK
0.0098	Lotus	nsp2	PK
0.0241	Lotus	nsp2	PK
0.0207	Lotus	nsp2	PK
0.0404	Lotus	nsp2	PK
0.026	Lotus	nsp2	PK
0.023	Lotus	nsp2	PK
0.0338	Lotus	nsp2	PK
0.0253	Lotus	nsp2	PK
0.0259	Lotus	nsp2	PK
0.024	Lotus	nsp2	PK
0.0274	Lotus	nsp2	PK
0.0318	Lotus	symrk	PK
0.0384	Lotus	symrk	PK
0.0377	Lotus	symrk	PK
0.0414	Lotus	symrk	PK
0.0491	Lotus	symrk	PK
0.0375	Lotus	symrk	PK
0.0422	Lotus	symrk	PK
0.0374	Lotus	symrk	PK
0.038	Lotus	symrk	PK
0.0257	Lotus	symrk	PK
0.0383	Lotus	symrk	PK
0.037	Lotus	symrk	PK
0.009	Lotus	symrk	PK
0.0303	Lotus	symrk	PK
0.021	Lotus	symrk	PK
0.0343	Lotus	symrk	PK
0.0361	Lotus	symrk	PK
0.0252	Lotus	symrk	PK
0.0245	Lotus	symrk	PK
0.0205	Lotus	symrk	PK
0.0051	Lotus	symrk	PK
0.0265	Lotus	symrk	PK
0.0358	Lotus	symrk	PK
0.0332	Lotus	symrk	PK
0.0156	Lotus	symrk	PK
0.0098	Lotus	symrk	PK
0.0341	Lotus	symrk	PK
0.0348	Lotus	symrk	PK
0.031	Lotus	symrk	PK
0.0235	Lotus	symrk	PK
0.0089	Lotus	symrk	PK
0.0327	Lotus	ccamk	PK
