	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo
LjRoot58	0	0	42	18	0	80	0	0	40	12	7	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LjRoot261	15	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	22	9	26	9	27	0	26	22	0	0	38	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0
G31_LjRoot101	18	0	19	0	0	12	0	0	0	0	0	0	0	0	0	0	8	17	0	20	0	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	17	0	16	0	0	18	0
LjRoot28	0	0	0	0	0	0	0	0	0	0	0	0	14	6	0	12	18	10	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	23	8
LjRoot224	0	28	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G25_LjRoot27	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	7	4	7	0	6	0	5	0	14	0	0
LjRoot246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
LjRoot153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LjRoot288	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	6	0	3	3	0	1
LjRoot231	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
LjRoot100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
3b34aa17d3cf1be28be06b78631e8d5f	1016	46	1315	276	51	1554	704	24	1416	564	40	1465	46	154	88	850	298	959	25	50	285	1834	213	2023	470	1720	74	843	555	1318	262	381	411	1515	367	852	818	1677	1002	1170	1019	1126	302	950
d6bdf5b3d2d326a4a843b02f04a7f15b	721	32	1078	218	46	1085	544	0	1154	387	44	1071	26	115	79	687	236	621	30	34	189	1363	156	1452	311	1199	58	702	396	940	185	280	293	1009	273	601	672	1395	702	758	729	841	223	734
34a2c7b37159a9a7b43d963bfde66ee2	377	46	227	167	42	259	89	12	86	81	33	125	252	319	58	84	561	668	743	1222	177	177	125	218	197	129	42	54	272	226	213	73	91	90	77	61	178	231	157	118	206	185	611	127
c9d380625a1d09926d9a1e65be39c04a	117	18	196	40	0	251	38	11	405	40	12	171	105	455	21	51	142	436	277	579	51	75	56	150	0	275	0	60	39	162	41	50	21	103	0	143	46	615	0	55	87	250	843	183
797b65389eb0c25ea1ec0ae0c936903c	89	10	39	59	10	65	76	0	62	73	19	45	110	115	48	72	226	193	191	155	87	57	93	115	99	69	21	34	311	142	218	69	170	154	182	163	134	124	228	158	195	122	266	69
78096d9feef290d3da34b88c0b13fb84	14	0	0	0	0	0	0	0	0	0	0	0	252	76	89	63	1097	431	534	157	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	141	0
