ASVid,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
b77e709a5e6b30a895d1b735af62c9a5,PK,Rhizosphere,nsp2,0.634181087357735,FALSE,TRUE,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_ferrarius,0.927148982877903
b81f4a4445c59542ae79aae2793319ec,UF,Rhizosphere,ccamk,1.78009082698724,FALSE,TRUE,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,0.85693209117291
b833ef4efd1ed815a650ea59461ba692,UF,Rhizosphere,ccamk,0.837973004739049,FALSE,TRUE,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,metagenome,0.770267003509975
b9946ef0f9580748cf891d2cce3d5eb9,NPK,Rhizosphere,symrk,1.35963404174462,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Nordella,uncultured_bacterium,0.996718687632954
bbeb2467db2806241b1a60d76467938e,PK,Rhizosphere,symrk,1.13116563377859,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,TRA3-20,metagenome,0.866354321521813
bbeb2467db2806241b1a60d76467938e,PK,Rhizosphere,ccamk,1.05254231927644,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,TRA3-20,metagenome,0.866354321521813
bbeb2467db2806241b1a60d76467938e,PK,Rhizosphere,nsp1,1.77095626437469,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,TRA3-20,metagenome,0.866354321521813
bbeb2467db2806241b1a60d76467938e,PK,Rhizosphere,nsp2,1.1060015085559,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,TRA3-20,metagenome,0.866354321521813
bce6dd76ac260cb86eb6ba5397fcb213,PK,Rhizosphere,symrk,0.762677049244277,FALSE,TRUE,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Unknown,0.999999086049071
bce6dd76ac260cb86eb6ba5397fcb213,PK,Rhizosphere,ccamk,0.811461834781766,FALSE,TRUE,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Unknown,0.999999086049071
bcee4942ee79493207ddb4b4737ce2aa,PK,Root,nsp1,1.26484138223557,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,metagenome,0.764079393110331
bd452b068feeddaa59d0d32d8101aecd,PK,Root,ccamk,1.37552789023017,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.871040070209642
bd797c368962e36c66f5b134c30960da,PK,Rhizosphere,symrk,-1.79380054760689,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unknown,0.998974683093467
