formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C4H4O3	[M - H]-	C4H3O3-		0,998	4,766	4,500	0,266	0	0,000			9,014		99,010	119	1,982	694879739798742261	694877335757824897	7	
1	C4H5O2P2S3	[M - H]-	C4H4O2P2S3-		0,819	5,103	5,103	0,000	9	0,225	1,936	6,366	-4,648		241,884	119	1,986	694879746580932930	694877382880836298	1197	
1	C4H6O4	[M - H]-	C4H5O4-		0,928	6,590	4,500	2,090	0	0,000			5,023		117,020	119	1,988	694879740071372102	694877340317033590	56	
1	CH3OP2S4	[M - H]-	CH2OP2S4-		0,886	-6,452	-6,452	0,000	1	0,008	7,200	7,200	3,182		219,848	119	1,989	694879749978319331	694877374332843520	954	
1	HNO3S5	[M - H]-	NO3S5-		1,000	-1,519	-1,519	0,000	1	0,015	0,389	0,389	-7,534		221,847	119	1,991	694879754118097933	694877375121372802	980	
1	C9H8O5	[M - H]-	C9H7O5-		1,000	48,695	46,636	2,058	9	0,078	-3,181	3,181	4,169		195,031	120	1,996	694879755611270374	694877365692575935	685	
1	H2O4S	[M - H]-	HO4S-		0,957	-1,292	-1,292	0,000	0	0,000	13,747	13,747	18,532		96,962	120	1,998	694879754826935422	694877335652967292	6	
1	C7H11NO4	[M - H]-	C7H10NO4-		1,000	54,315	54,315	0,000	11	0,254	1,877	5,368	-1,229		172,061	120	1,998	694879754621414486	694877357622733874	452	
1	C6H11NO4	[M - H]-	C6H10NO4-		1,000	84,019	84,019	0,000	12	0,559	4,754	9,363	-0,084		160,062	121	2,012	694879756672429571	694877354049186371	353	
1	C10H14N2O4	[M - H]-	C10H13N2O4-		1,000	35,724	33,110	2,614	10	0,560	5,384	8,660	-4,534		225,087	121	2,017	694879757439987392	694877375972816664	1010	
1	C13H16N4O6	[M - H]-	C13H15N4O6-		0,976	99,066	99,066	0,000	32	0,566	-0,525	4,119	-10,547		323,096	121	2,019	694879761160335262	694877412400352113	2045	
1	C8H2O4S	[M - H]-	C8HO4S-		0,390	0,391	0,391	0,000	0	0,000			-8,619		192,958	122	2,025	694879756525628868	694877364836937789	659	
1	C6H13N3O5P2S2	[M - H]-	C6H12N3O5P2S2-		0,814	37,223	37,223	0,000	23	0,385	-4,678	5,025	-3,688		331,969	122	2,031	694879774393366020	694877416850509322	2178	
1	C10H13N5O8S	[M - H]-	C10H12N5O8S-		0,997	65,015	65,015	0,000	31	0,727	-0,859	5,917	-0,793		362,041	122	2,033	694879777010611787	694877427617289011	2440	
1	C2H8O3P2S3	[M - H]-	C2H7O3P2S3-		0,430	0,000	0,000	0,000	2	0,030	9,114	9,114	8,932		236,906	123	2,045	694879788754664118	694877381156977029	1132	
1	C3H2N2O7	[M - H]-	C3HN2O7-		0,856	7,242	7,242	0,000	1	0,055	13,931	13,931	8,114		176,980	123	2,048	694879782698088398	694877358906191093	491	
1	C4H4Cl2NO4PS2	[M - H]-	C4H3Cl2NO4PS2-		0,963	54,032	54,032	0,000	17	0,371	6,212	6,212	6,720		293,864	123	2,049	694879796509933231	694877399096018024	1687	
1	C3H7N3OP2S3	[M - H]-	C3H6N3OP2S3-		0,709	3,934	3,934	0,000	6	0,075	0,655	4,213	-0,666		257,915	123	2,053	694879789266369315	694877386781539688	1331	
1	C4H10O3S2	[M - H]-	C4H9O3S2-		0,994	59,659	59,659	0,000	11	0,547	-1,091	10,478	-3,549		168,999	123	2,058	694879793301290447	694877356116978538	412	
1	C13H12N4O3	[M - H]-	C13H11N4O3-		0,983	45,087	44,006	1,081	14	0,137	-6,320	6,594	-5,806		271,082	124	2,060	694879789346061119	694877390824849384	1459	
1	C3H4O7	[M - H]-	C3H3O7-		1,000	19,372	19,372	0,000	1	0,202	-10,091	10,091	3,338		150,989	124	2,062	694879760950620032	694877350429501559	261	
1	C18H24N2O2	[M - H]-	C18H23N2O2-		1,000	52,582	50,991	1,591	14	0,675	-1,314	3,946	-3,281		299,176	124	2,066	694879763370733606	694877401218336173	1752	
1	C21H25N5O6S	[M - H]-	C21H24N5O6S-		0,999	40,200	40,200	0,000	24	0,759	-0,090	2,166	-0,713		474,145	124	2,067	694879794014322234	694877452107832937	3007	
1	C4H10O9	[M - H]-	C4H9O9-		0,543	8,881	8,881	0,000	1	0,023	-6,904	6,904	3,306		201,026	124	2,071	694879800196726927	694877368410485317	763	
1	C6H14N3O2PS	[M - H]-	C6H13N3O2PS-		0,796	68,125	68,125	0,000	27	0,533	-3,075	7,261	-8,772		222,045	124	2,071	694879796539293372	694877375209453201	983	
1	C17H32Cl2N10O6	[M - H]-	C17H31Cl2N10O6-		0,694	37,740	37,740	0,000	35	0,820	-7,596	7,596	-4,966		541,178	124	2,071	694879823831632011	694877460035068501	3206	
1	C14H16N4O7S	[M - H]-	C14H15N4O7S-		1,000	87,355	87,355	0,000	35	0,714	-3,946	6,725	0,487		383,067	124	2,071	694879826482432533	694877433837442570	2583	
1	C4H15N4S	[M - H]-	C4H14N4S-		0,698	5,486	5,486	0,000	3	0,117	9,557	9,557	-13,232		150,092	124	2,073	694879797168439234	694877350391752818	260	
1	C11H12N4O7S	[M - H]-	C11H11N4O7S-		1,000	67,504	67,504	0,000	37	0,807	-4,032	4,713	4,830		343,037	125	2,079	694879804567191828	694877421359386583	2268	
1	C7H9NO4	[M - H]-	C7H8NO4-		0,925	8,270	6,597	1,672	1	0,092	11,585	11,585	1,345		170,046	125	2,079	694879797831139324	694877356536409003	425	
1	C8H11NO4	[M - H]-	C8H10NO4-		1,000	99,694	99,694	0,000	17	0,340	0,299	8,717	-0,388		184,061	125	2,079	694879818911712803	694877361544408649	559	
1	C7H13N3OS	[M - H]-	C7H12N3OS-		1,000	38,095	38,095	0,000	11	0,360	-0,136	9,309	-4,550		186,070	125	2,080	694879815908590450	694877362513293023	589	
1	C5H8N4O3S	[M - H]-	C5H7N4O3S-		1,000	43,407	43,407	0,000	10	0,159	-1,406	4,837	-3,372		203,024	125	2,081	694879826541152803	694877369693942536	802	
1	C4H8N3O4	[M - H]-	C4H7N3O4-		0,192	26,658	26,092	0,566	8	0,110	-6,396	9,971	8,791		161,046	125	2,087	694879823441561686	694877354246318689	359	
1	C6H8O4	[M - H]-	C6H7O4-		1,000	15,977	15,977	0,000	1	1,000	5,124	5,124	3,619		143,036	125	2,087	694879824016181427	694877347724175149	195	
1	C11H12N2O4	[M - H]-	C11H11N2O4-		1,000	81,060	79,528	1,532	20	0,386	0,432	6,574	-0,512		235,072	125	2,089	694879826046224817	694877380867569993	1120	
1	C6H12O4	[M - H]-	C6H11O4-		0,999	12,908	12,908	0,000	1	0,159	0,678	0,678	-3,552		147,066	126	2,100	694879825891035548	694877349439645690	236	
1	C7H10NO4P	[M - H]-	C7H9NO4P-		0,967	10,719	10,719	0,000	5	0,067	-8,123	11,241	0,307		202,028	126	2,106	694879831637233424	694877369068991150	784	
1	C3H3ClOSe	[M - H]-	C3H2ClOSe-		0,895	3,781	3,167	0,615	1	0,019	-8,999	8,999	-0,260		162,902	127	2,112	694879828776717822	694877354661554845	371	
1	C11H14N4O4	[M - H]-	C11H13N4O4-		1,000	87,044	87,044	0,000	24	0,342	-4,695	7,441	-7,388		265,092	127	2,116	694879831901474622	694877388668976768	1387	
