formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C25H34N4O6	[M - H]-	C25H33N4O6-		74,185	69,713	4,473	26	0,731	-0,549	4,471	-2,503		485,239	817	13,613	650282340002541056	650277990403793435	1911	
1	C15H27N4O2	[M - H]-	C15H26N4O2-		69,524	69,524	0,000	27	0,676	-1,861	5,791	3,120		294,207	817	13,617	650282344477863592	650277927619252735	1119	
1	C9H20N6O7	[M - H]-	C9H19N6O7-		131,360	131,360	0,000	39	0,717	-2,685	8,011	-9,102		323,129	820	13,665	650282370012787235	650277950130083695	1399	
1	C18H34O4	[M - H]-	C18H33O4-		148,894	142,852	6,042	28	0,464	-1,699	2,710	3,205		313,239	820	13,666	650282369735963122	650277945042392625	1336	
1	C17H28N6O6	[M - H]-	C17H27N6O6-		86,574	85,613	0,961	38	0,483	-0,997	4,102	7,329		411,203	821	13,676	650282378921489834	650277981893549992	1811	
1	C23H32O11	[M - H]-	C23H31O11-		64,598	64,279	0,319	23	0,728	0,627	2,791	0,030		483,187	821	13,676	650282377621255530	650277988893843862	1901	
1	C13H20O2	[M - H]-	C13H19O2-		87,120	85,173	1,947	18	0,447	-1,846	5,356	-1,481		207,139	821	13,678	650282377193436452	650277896669480705	555	
1	C8H17N4O3	[M - H]-	C8H16N4O3-		57,364	55,802	1,562	19	0,375	2,253	8,208	4,771		216,124	822	13,701	650282384118233331	650277899790043271	634	
1	C14H26O5	[M - H]-	C14H25O5-		124,584	122,275	2,309	24	0,504	-3,557	8,482	-2,041		273,170	824	13,725	650282384499915042	650277917238349723	998	
1	C17H30O6	[M - H]-	C17H29O6-		98,664	96,109	2,556	26	0,498	-3,163	3,898	0,570		329,197	824	13,726	650282384835459435	650277955075168440	1464	
1	C9H17NO4	[M - H]-	C9H16NO4-		41,676	38,705	2,971	10	0,229	-3,674	5,218	-2,234		202,108	824	13,726	650282383300343781	650277895943866019	537	
1	C11H19NO3	[M - H]-	C11H18NO3-		35,805	32,255	3,550	9	0,125	-0,429	4,074	-1,460		212,129	824	13,741	650282385074534807	650277898259122116	594	
1	C18H31NO3	[M - H]-	C18H30NO3-		98,180	95,702	2,478	30	0,340	-2,109	4,514	1,358		308,224	824	13,741	650282389201730245	650277937849160867	1254	
1	C19H29N3O4	[M - H]-	C19H28N3O4-		80,963	78,723	2,239	35	0,615	-4,629	7,184	5,632		362,211	825	13,745	650282393853214439	650277968123649150	1653	
1	C18H30O4	[M - H]-	C18H29O4-		74,188	74,188	0,000	24	0,252	-1,086	7,117	-0,579		309,207	825	13,748	650282392762695255	650277938641884372	1263	
1	C10H19NO2	[M - H]-	C10H18NO2-		59,402	58,928	0,474	9	0,467	-8,738	8,738	0,367		184,134	825	13,752	650282390657154279	650277891011363870	400	
1	C20H37NO6	[M - H]-	C20H36NO6-		128,417	125,445	2,973	37	0,731	-0,079	3,990	0,876		386,255	825	13,752	650282392867552905	650277976466120283	1746	
1	C22H38N4O6S	[M - H]-	C22H37N4O6S-		97,605	97,605	0,000	49	0,886	0,375	5,338	1,341		485,245	825	13,754	650282394700463898	650277990227632652	1909	
1	C20H34N6O8	[M - H]-	C20H33N6O8-		63,115	63,115	0,000	45	0,846	-0,453	5,923	3,265		485,238	825	13,756	650282404821321348	650277990248604177	1909	
1	C24H38O10	[M - H]-	C24H37O10-		70,272	64,122	6,150	27	0,762	-1,759	3,333	-1,283		485,239	826	13,769	650282404603217450	650277990194078215	1909	
1	C9H10O2	[M - H]-	C9H9O2-		28,905	25,992	2,913	6	0,111	4,137	6,930	0,473		149,061	826	13,771	650282402715780223	650277881356075072	200	
1	C20H37NO5	[M - H]-	C20H36NO5-		143,376	141,621	1,755	34	0,585	-1,762	5,556	-0,545		370,260	827	13,788	650282403500115259	650277969713290511	1683	
1	C18H31NO2	[M - H]-	C18H30NO2-		79,773	75,706	4,067	16	0,556	-3,352	4,443	0,066		292,228	828	13,795	650282402749334679	650277924964258188	1095	
1	C18H32O4	[M - H]-	C18H31O4-		95,295	92,948	2,347	22	0,397	-1,721	5,866	3,603		311,224	828	13,798	650282403189736688	650277940550292842	1295	
1	C8H22N3OS	[M - H]-	C8H21N3OS-		53,347	53,347	0,000	22	0,500	-4,964	6,195	-12,537		207,138	828	13,801	650282405525964634	650277896719812358	556	
1	C16H35N4O2	[M - H]-	C16H34N4O2-		86,675	81,600	5,075	24	0,507	-1,392	6,739	3,749		314,270	828	13,803	650282405400135488	650277945910613607	1346	
1	C18H33NO5	[M - H]-	C18H32NO5-		137,597	132,375	5,223	38	0,657	-1,158	3,928	1,327		342,229	830	13,835	650282437322984175	650277961253378595	1534	
1	C15H26O3	[M - H]-	C15H25O3-		110,393	106,680	3,713	22	0,518	-2,555	5,007	1,113		253,181	830	13,837	650282435330689651	650277910196112678	873	
1	C9H18O2	[M - H]-	C9H17O2-		23,687	20,784	2,903	6	0,059	2,378	6,785	-1,617		157,123	830	13,837	650282435284552290	650277883902017825	245	
1	C18H31NO4	[M - H]-	C18H30NO4-		110,653	108,281	2,372	30	0,552	-3,455	7,260	1,240		324,218	831	13,849	650282445527043364	650277950956361618	1406	
1	C18H33NO3	[M - H]-	C18H32NO3-		68,951	68,951	0,000	22	0,309	-2,015	5,009	-0,008		310,239	831	13,853	650282445145361578	650277939350721808	1277	
1	C14H24O3	[M - H]-	C14H23O3-		59,589	56,357	3,232	12	0,366	-1,733	4,849	-0,055		239,165	832	13,862	650282445166333135	650277905716595527	776	
1	C17H28O5	[M - H]-	C17H27O5-		77,085	72,921	4,163	22	0,221	-3,090	7,532	-0,233		311,186	833	13,883	650282457791189024	650277940390909280	1293	
1	C20H41NO5	[M - H]-	C20H40NO5-		122,446	116,580	5,866	31	0,631	-5,129	5,436	-0,209		374,291	836	13,940	650282458449694961	650277972787715492	1712	
1	C17H26O5	[M - H]-	C17H25O5-		149,983	146,968	3,015	34	0,360	-2,798	6,379	2,965		309,172	836	13,940	650282458651021594	650277938327311548	1259	
1	C19H33N3O3	[M - H]-	C19H32N3O3-		89,601	86,738	2,863	30	0,683	-4,942	6,318	4,608		350,247	837	13,944	650282467874296609	650277965816781676	1599	
1	C16H35N4O2	[M - H]-	C16H34N4O2-		78,243	73,030	5,212	25	0,447	-0,010	5,682	4,204		314,270	837	13,944	650282467802993420	650277946111940204	1347	
1	C7H15N4O3	[M - H]-	C7H14N4O3-		63,924	61,614	2,310	16	0,325	-1,154	7,418	4,904		202,108	839	13,976	650282479484131389	650277896191329990	544	
1	C8H15NO3	[M - H]-	C8H14NO3-		24,918	22,246	2,671	8	0,014	-3,996	6,477	-1,483		172,098	841	14,016	650282483829430596	650277888247317234	339	
1	C18H34O4	[M - H]-	C18H33O4-		84,138	84,138	0,000	23	0,354	-0,944	6,894	1,991		313,239	842	14,040	650282487382006628	650277944648128034	1333	
1	C8H17N4O3	[M - H]-	C8H16N4O3-		84,916	81,501	3,415	24	0,496	-4,370	10,977	5,121		216,124	843	14,044	650282487310703435	650277899852957841	636	
1	C10H17NO3	[M - H]-	C10H16NO3-		78,367	75,942	2,425	15	0,238	-4,212	5,342	-1,647		198,113	843	14,045	650282484886395559	650277894647825898	496	
1	C18H33NO5	[M - H]-	C18H32NO5-		137,102	131,371	5,730	30	0,778	-3,132	3,896	0,304		342,229	843	14,048	650282488808070549	650277960460655119	1530	
1	C15H27N4O2	[M - H]-	C15H26N4O2-		101,775	99,943	1,832	27	0,592	-4,700	7,453	6,442		294,208	844	14,065	650282490162830917	650277927745081860	1120	
1	C18H29NO2	[M - H]-	C18H28NO2-		96,767	91,391	5,376	21	0,429	-4,984	5,486	1,055		290,213	844	14,073	650282490657758880	650277923294925087	1074	
1	C16H29N4O2	[M - H]-	C16H28N4O2-		127,776	124,924	2,852	34	0,332	1,940	4,048	5,111		308,223	844	14,073	650282490540318336	650277937052243072	1247	
1	C19H29N3O4	[M - H]-	C19H28N3O4-		125,341	125,341	0,000	39	0,656	-1,818	4,831	6,129		362,211	845	14,075	650282497490280587	650277968153009283	1654	
1	C18H37NO3	[M - H]-	C18H36NO3-		70,162	67,545	2,616	17	0,306	-5,230	5,230	-5,593		314,268	845	14,078	650282524296086402	650277945679926877	1344	
1	C10H18O2	[M - H]-	C10H17O2-		34,864	34,864	0,000	9	0,040	-0,349	3,060	-2,281		169,123	845	14,079	650282524606465151	650277886821253704	304	
1	C20H37NO6	[M - H]-	C20H36NO6-		119,985	115,059	4,925	37	0,790	0,709	3,836	1,153		386,255	845	14,080	650282529186645690	650277976520646240	1747	
1	C17H36N2O8	[M - H]-	C17H35N2O8-		93,426	92,128	1,298	36	0,559	4,433	5,968	8,274		395,243	845	14,081	650282533603248643	650277979716706082	1785	
1	C12H30N4O5	[M - H]-	C12H29N4O5-		91,856	91,341	0,515	30	0,291	2,670	5,813	-17,501		309,209	846	14,100	650282528167429678	650277939065509111	1272	
1	C9H19N4O	[M - H]-	C9H18N4O-		21,662	19,010	2,652	9	0,121	-10,204	10,204	3,015		198,149	848	14,138	650282528737855131	650277894765266430	500	
1	C13H10N4O7S2	[M - H]-	C13H9N4O7S2-		98,220	98,220	0,000	44	0,465	3,690	4,464	9,410		396,996	848	14,141	650282541396266471	650277979867701046	1789	
1	C13H23NO2	[M - H]-	C13H22NO2-		54,308	51,054	3,254	17	0,274	1,226	6,808	-1,369		224,165	849	14,146	650282525101393072	650277901186746683	670	
1	C9H16N3O2	[M - H]-	C9H15N3O2-		42,451	42,451	0,000	18	0,253	1,505	6,631	11,185		197,119	849	14,151	650282527559255489	650277894245172664	486	
1	C18H34O4	[M - H]-	C18H33O4-		57,910	57,910	0,000	18	0,326	-5,883	5,883	2,004		313,239	849	14,156	650282527236293994	650277944568436253	1332	
1	C18H29NO3S	[M - H]-	C18H28NO3S-		110,230	110,230	0,000	35	0,629	-3,243	4,585	2,587		338,180	850	14,170	650282532852468080	650277958225090953	1505	
1	C10H17NO3	[M - H]-	C10H16NO3-		46,445	45,376	1,069	13	0,158	1,913	9,058	-1,106		198,113	854	14,227	650282532894411143	650277894740100601	499	
1	C18H29NO2	[M - H]-	C18H28NO2-		81,165	78,706	2,459	18	0,264	-4,173	4,581	0,927		290,213	854	14,230	650282535465519771	650277923781464371	1078	
1	C15H29N4O	[M - H]-	C15H28N4O-		57,437	57,437	0,000	19	0,299	-2,788	6,906	5,683		280,228	855	14,257	650282533334813144	650277920098865245	1036	
1	C20H40N2O4	[M - H]-	C20H39N2O4-		59,824	58,095	1,728	27	0,362	-0,420	4,871	-0,795		371,291	855	14,258	650282543459864466	650277970879307098	1698	
1	C16H31N3O4S	[M - H]-	C16H30N3O4S-		90,645	90,645	0,000	45	0,790	-1,752	6,181	-2,918		360,195	856	14,262	650282554927094467	650277967855213649	1644	
1	C16H29N4O3	[M - H]-	C16H28N4O3-		134,144	130,068	4,076	39	0,736	1,482	5,324	5,185		324,218	856	14,262	650282553647831459	650277950901835661	1405	
1	C13H22O2	[M - H]-	C13H21O2-		37,939	34,713	3,226	10	0,114	-2,534	6,507	-3,097		209,154	856	14,264	650282548442698519	650277897625782127	577	
1	C12H28N3O4S	[M - H]-	C12H27N3O4S-		101,911	98,932	2,979	36	0,528	-1,689	6,869	-2,817		309,172	856	14,268	650282550804092516	650277938444752070	1261	
1	C18H35NO5S	[M - H]-	C18H34NO5S-		68,897	60,600	8,297	25	0,651	-3,397	4,861	0,612		376,217	856	14,272	650282556822919941	650277973479775687	1719	
1	C18H30O4	[M - H]-	C18H29O4-		152,119	150,218	1,901	34	0,405	-0,171	5,374	2,500		309,208	857	14,290	650282552414705626	650277938952262893	1269	
1	C12H26N3O2	[M - H]-	C12H25N3O2-		70,028	69,491	0,537	21	0,617	-0,216	6,101	2,750		243,196	857	14,291	650282548501418795	650277907281071089	812	
1	C13H18N3O6S	[M - H]-	C13H17N3O6S-		112,222	110,602	1,620	44	0,760	-3,311	5,548	-5,720		343,082	859	14,315	650282557452065595	650277961312098856	1535	
1	C12H20N2O7S	[M - H]-	C12H19N2O7S-		113,923	113,923	0,000	42	0,783	-1,142	4,162	1,881		335,092	860	14,338	650282557611449188	650277957847603543	1495	
1	C16H26O3	[M - H]-	C16H25O3-		59,837	56,783	3,054	16	0,329	-4,474	8,357	-1,954		265,180	863	14,388	650282550082671713	650277913023073889	936	
1	C6H9N3O2	[M - H]-	C6H8N3O2-		10,756	9,918	0,838	4	0,038	1,308	10,826	7,399		154,063	864	14,398	650282549382222817	650277882136215696	216	
1	C12H20O3	[M - H]-	C12H19O3-		93,332	88,046	5,285	17	0,529	0,974	8,505	-1,378		211,134	864	14,401	650282553257761014	650277897973909404	586	
1	C11H20O	[M - H]-	C11H19O-		29,060	25,881	3,180	6	0,038	-3,927	9,452	-1,810		167,144	864	14,403	650282553048045752	650277886020141565	289	
