"LjRoot8","LjRoot8",0,0,1,0,0,1,0,0,5,0,0,1,0,5,0,8,0,1,0,1,0,0,0,3,0,3,0,3,0,2,0,4,0,3,0,2,0,4,0,3,0,4,0,1
"LjRoot220","LjRoot220",0,0,0,2,0,0,0,2,0,1,0,1,0,2,0,0,1,1,0,0,6,0,3,2,0,1,0,0,4,1,0,0,0,2,0,0,0,0,0,3,3,0,3,0
"G34_LjRoot233","G34_LjRoot233",0,0,2,0,0,0,1,0,0,1,0,0,4,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,1,0,3,0,1,0,0,2,1,2,0
"LjRoot80","LjRoot80",0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,2,0,1,0,3,0,1,0,0,0,3,0,3,0,0,0,2,2,7,0,1,0,0,0,3,1,2
"LjRoot247","LjRoot247",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,3,0,1,0,0,0,3,0,3,0,0
"LjRoot58","LjRoot58",0,0,1,1,0,4,0,0,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LjRoot261","LjRoot261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"G31_LjRoot101","G31_LjRoot101",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"LjRoot28","LjRoot28",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
"LjRoot224","LjRoot224",0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G25_LjRoot27","G25_LjRoot27",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"LjRoot246","LjRoot246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LjRoot153","LjRoot153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LjRoot288","LjRoot288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"LjRoot100","LjRoot100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"3b34aa17d3cf1be28be06b78631e8d5f","3b34aa17d3cf1be28be06b78631e8d5f",67,7,88,27,5,113,76,1,106,78,4,109,3,19,26,135,21,67,0,6,22,153,29,130,61,154,76,189,48,135,28,64,64,138,24,79,79,148,77,81,74,83,19,116
"d6bdf5b3d2d326a4a843b02f04a7f15b","d6bdf5b3d2d326a4a843b02f04a7f15b",40,2,93,24,2,77,51,0,93,48,5,91,1,20,23,115,30,34,3,2,15,137,23,94,32,106,62,137,30,93,32,48,38,120,14,79,58,96,52,54,40,83,19,74
"34a2c7b37159a9a7b43d963bfde66ee2","34a2c7b37159a9a7b43d963bfde66ee2",16,2,22,22,4,17,12,1,4,11,9,8,32,38,15,11,55,38,62,128,15,16,19,15,21,14,41,10,33,18,30,15,10,10,2,4,10,21,12,9,17,16,35,18
"c9d380625a1d09926d9a1e65be39c04a","c9d380625a1d09926d9a1e65be39c04a",10,0,7,5,0,18,6,0,29,4,0,15,18,59,4,9,9,24,27,46,1,7,5,8,0,24,0,13,4,19,3,7,4,13,0,13,1,55,0,3,6,23,51,23
"797b65389eb0c25ea1ec0ae0c936903c","797b65389eb0c25ea1ec0ae0c936903c",2,3,0,6,0,6,14,0,6,8,3,5,18,15,11,11,21,20,13,19,6,3,9,5,8,5,17,11,33,18,21,7,30,12,12,20,17,6,18,10,16,13,12,8
"78096d9feef290d3da34b88c0b13fb84","78096d9feef290d3da34b88c0b13fb84",2,0,0,0,0,0,0,0,0,0,0,0,41,9,29,13,114,33,39,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0
"d9d89d3c442298998f67355d3a260a8e","d9d89d3c442298998f67355d3a260a8e",0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,88,67,5,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"ca238ac75951426e89841bb359ca387e","ca238ac75951426e89841bb359ca387e",7,2,0,10,1,0,26,0,0,12,0,0,0,0,6,0,12,0,4,0,6,0,10,0,17,0,0,0,13,0,14,0,25,0,3,0,6,0,2,0,2,0,0,0
"49c3dfc1cb0dbe6b67d6910a50f5a95b","49c3dfc1cb0dbe6b67d6910a50f5a95b",0,0,2,2,1,2,3,0,0,1,5,2,3,0,8,0,0,2,3,0,5,0,9,1,4,0,30,0,2,1,3,0,5,3,0,0,2,0,2,0,2,0,2,0
"14c8452407718b2270b9a613bcd70156","14c8452407718b2270b9a613bcd70156",5,0,0,0,0,2,4,0,0,0,4,0,5,0,3,0,0,0,7,0,0,0,1,1,4,0,21,0,1,1,4,0,5,0,0,0,0,0,2,0,5,0,1,0
"c46ee86bc6bd27f00aa0c2a1555c9f3d","c46ee86bc6bd27f00aa0c2a1555c9f3d",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fd144860ade1fe9af5dc56ef271f8742","fd144860ade1fe9af5dc56ef271f8742",1,0,0,2,2,1,4,0,0,0,0,2,0,0,0,0,1,0,5,0,3,0,6,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
"f2242278954a4edcdf637c335b341504","f2242278954a4edcdf637c335b341504",1,0,4,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3
"be89ccf010b75bdf8304db5c375a5c05","be89ccf010b75bdf8304db5c375a5c05",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,24,0,0,5,3,8,0,0,3,0,0,0,0,0,0,0,0,0
"dacbefc032b03c642e865e8e79851aa8","dacbefc032b03c642e865e8e79851aa8",0,0,4,0,0,0,0,0,3,0,0,8,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"556428c2a6663ea235f1b44669025011","556428c2a6663ea235f1b44669025011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cc13271b80fd6fd745f8667ecd65bd86","cc13271b80fd6fd745f8667ecd65bd86",0,0,4,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
