"","ASVid","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_1_nod","Lj_Gifu_LjSC_1_rhizo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_2_nod","Lj_Gifu_LjSC_2_rhizo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_3_nod","Lj_Gifu_LjSC_3_rhizo","Lj_Gifu_LjSC_4_endo","Lj_Gifu_LjSC_4_nod","Lj_Gifu_LjSC_4_rhizo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_1_rhizo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_2_rhizo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_3_rhizo","Lj_ccamk_LjSC_4_endo","Lj_ccamk_LjSC_4_rhizo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_1_rhizo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_2_rhizo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_3_rhizo","Lj_nsp1_LjSC_4_endo","Lj_nsp1_LjSC_4_rhizo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_1_rhizo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_2_rhizo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_3_rhizo","Lj_nsp2_LjSC_4_endo","Lj_nsp2_LjSC_4_rhizo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_1_rhizo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_2_rhizo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_3_rhizo","Lj_symrk_LjSC_4_endo","Lj_symrk_LjSC_4_rhizo"
"LjRoot30","LjRoot30",3,1,2,6,1,3,3,2,4,2,0,5,6,5,0,6,5,5,1,2,4,7,7,4,4,3,0,6,7,7,5,2,0,4,3,5,4,2,5,5,3,4,1,7
"LjRoot295","LjRoot295",2,0,0,1,0,1,9,0,3,0,0,2,19,3,3,7,11,7,0,4,0,0,1,1,4,1,0,0,3,3,5,6,5,2,2,4,5,2,4,1,4,9,6,2
"LjRoot296","LjRoot296",4,0,13,4,0,3,5,0,2,0,3,3,7,5,11,3,5,2,4,6,8,5,5,7,14,5,48,9,5,10,0,7,0,5,1,3,0,2,6,6,2,3,6,4
"LjRoot257","LjRoot257",4,0,0,7,0,7,0,0,6,0,0,4,15,7,0,0,4,7,0,5,0,0,0,6,0,0,0,0,9,4,0,0,0,6,0,8,0,3,0,11,0,0,2,0
"G9_LjRoot131","G9_LjRoot131",1,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,37,5,10,0,0,0,3,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0
"G24_LjRoot12","G24_LjRoot12",12,0,4,2,0,3,3,0,8,3,0,2,1,4,0,5,4,4,2,7,1,6,1,1,1,0,0,6,4,3,0,4,0,1,0,3,0,2,1,5,1,10,3,2
"LjRoot244","LjRoot244",0,0,3,35,2,1,0,0,4,0,0,1,0,3,0,0,0,3,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,2,0,2,0,1,15,2,0,3,1,3
"G15_LjRoot29","G15_LjRoot29",2,0,2,3,0,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,5,0,8,0,1,1,5,0,2,1,5,2,0,4,5,4,9,0,12
"LjRoot230","LjRoot230",1,0,1,2,0,2,1,0,4,0,0,0,0,0,2,0,0,0,0,0,4,8,2,4,0,2,0,2,0,0,1,3,5,5,3,7,1,6,3,5,2,2,0,8
"LjRoot258","LjRoot258",5,3,0,13,0,0,12,0,0,9,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,11,0,6,0,0,0,0,0
"LjRoot8","LjRoot8",0,0,0,0,0,0,0,0,2,0,0,2,0,5,0,2,0,1,0,2,0,2,0,0,0,5,0,1,0,2,0,3,0,6,0,3,0,3,0,1,0,2,0,1
"LjRoot220","LjRoot220",0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,1,1,0,3,0,5,4,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"G34_LjRoot233","G34_LjRoot233",4,0,1,0,0,0,0,0,1,1,0,0,7,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,3,1,0,0
"LjRoot80","LjRoot80",0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,4,0,1,0,2,0,2,0,0,0,2,0,4,0,2,0,4,1,2,0,1,0,1,0,1,1,0
