ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,kingdom,phylum,class,order,family,genus,Lj_Gifu_LjSC_1_rhizo,Lj_Gifu_LjSC_2_rhizo,Lj_Gifu_LjSC_3_rhizo,Lj_Gifu_LjSC_4_rhizo,Lj_symrk_LjSC_1_rhizo,Lj_symrk_LjSC_2_rhizo,Lj_symrk_LjSC_3_rhizo,Lj_symrk_LjSC_4_rhizo,Lj_ccamk_LjSC_1_rhizo,Lj_ccamk_LjSC_2_rhizo,Lj_ccamk_LjSC_3_rhizo,Lj_ccamk_LjSC_4_rhizo,Lj_nsp1_LjSC_1_rhizo,Lj_nsp1_LjSC_2_rhizo,Lj_nsp1_LjSC_3_rhizo,Lj_nsp1_LjSC_4_rhizo,Lj_nsp2_LjSC_1_rhizo,Lj_nsp2_LjSC_2_rhizo,Lj_nsp2_LjSC_3_rhizo,Lj_nsp2_LjSC_4_rhizo
LjRoot153,,,,,,,,,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000364270288554107,0,0,0,0,0,0
LjRoot17,0.0169152950163608,0.987595806449123,0.115533167642181,-0.680975956282353,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,0.0328089344274682,0.0409427000127239,0.021097329685638,0.0297606941902244,0.0354858739521888,0.022581194727957,0.044926587164817,0.0245528180897739,0.0802274825820532,0.0247925417477717,0.0569556812486576,0.115091096596769,0.0389612849458292,0.0417739963052585,0.0260334212840809,0.0274089414057742,0.0395409848441953,0.0131829447896835,0.0114961435829952,0.0213034676176148
LjRoot18,1.42447939520773,-1.2283386784624,0.706323620350405,0.852101620537399,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dyella,0.00571247223103777,0.00545714164534234,0.00741847233178362,0.00813504169208867,0.00940701645451723,0.0254928988492574,0.0163886399669125,0.0248481268984138,0.00220347519516495,0.0117815797561725,0.00208825565022315,0.00115159848745273,0.0105311008409728,0.00943199854291885,0.0118440340076224,0.0113290291143866,0.00485061246060057,0.014045044721434,0.0126293087692364,0.0232165078657529
LjRoot183,0.298642347169675,0.390756789414855,-0.0933781533368458,0.313954486726746,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,0.016336461591936,0.0220547693438706,0.0415568721572313,0.0253372652701512,0.0265600745110214,0.0363188625768581,0.0296753291514441,0.0303324333445832,0.0295265676152103,0.0407745108083188,0.0245220877783346,0.0379683740116879,0.0230320478824153,0.0247703796216793,0.0266002149907163,0.0192877735818411,0.0350301039956212,0.0357771471676425,0.0328435135431517,0.0220092494567337
LjRoot196,-0.115041559388748,-0.814403132708887,0.234549848663344,-0.493402900915177,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella,0.0436747215547596,0.0645808886941032,0.0552357295110858,0.0594027523557725,0.0598571872089413,0.0219616832127867,0.0604708071965258,0.0846270671616605,0.0196424074540418,0.0718847112659222,0.0605952125247607,0.0113097284290134,0.0929805288279415,0.0689121328025395,0.047942929737125,0.0577008973890446,0.0607553366174056,0.0646934157117713,0.0256789852688526,0.0233465203098011
LjRoot219,-0.228753049987066,0.151291001101651,0.307682251295838,-0.285520364401352,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,0.00453370811987124,0.00537231560940438,0.00357496517346134,0.00606738526201613,0.00429990686122322,0.00320597209100624,0.0043599641552354,0.00466166047924401,0.00562410811718291,0.00594201413789571,0.00449869931505215,0.00534547954623582,0.00594742025911054,0.00482658132334192,0.00531613407602854,0.00812116782393308,0.00554894966309949,0.00262222062574087,0.00380158643126074,0.00432755706617633
LjRoot220,-0.308773362412601,0.159816473659571,0.346572082435974,-0.0974481767910596,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,0,0,0.0001846226145919,0.000220324045827402,0,0.000263292393947373,0,0,0.000482665995131369,0,0.000131261783728312,0,0,0.000286212369578227,0.000371347600899052,0,0.000188739784459166,0,0.000164491720583397,0
LjRoot221,0.570236179662443,0.712297279330347,0.412869117180534,0.405609770877223,1,1,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0.112632422058001,0.131240015268686,0.0710461388697739,0.088163514338011,0.151629928593604,0.156256291913826,0.153150203350107,0.124008606142423,0.179698648535214,0.142027797698323,0.156941361781342,0.166569267789618,0.134858701416774,0.14589025056592,0.107417179712694,0.137572582937426,0.13353339750486,0.115090340888681,0.144533391819278,0.128340855481882
LjRoot223,0.257425664400845,-2.51361270545093,0.237461249030625,0.66837341914635,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0.0354535974973931,0.0286853378196881,0.0289521827428207,0.0301166022642533,0.0278950636448308,0.0371242275465795,0.0295891638519336,0.0590828552143098,0.0226643162931252,0.0207628999760953,0.00190926230877545,0.000928154004812651,0.0353435866353512,0.0396664324929097,0.047141600703606,0.0259065253583465,0.0114942528735632,0.0705844319120658,0.0592352962678656,0.117716981482513
LjRoot224,,,,,,,,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
