Feature,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
809775cbb9eec62549c2330bfca3ec68,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,0.999999950475578
6900c887089b458326cadfb62c55d04a,Bacteria,Actinobacteriota,MB-A2-108,MB-A2-108,MB-A2-108,MB-A2-108,Unknown,0.999999999806157
8e1d306e23d5150417a980c30d4994d9,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,uncultured_Rubrobacteria,0.817921473195957
540719bc5aab2bbfedcd1d8ed0dc47f0,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Unknown,0.999911006213029
7e15fd806dc361fc98d24bbce73d857b,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,0.950894063733927
3642bb428a78133cc0ffb32ee40aab0e,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,metagenome,0.996025190130125
333bd5f4f9ea5f74c2980c8d1cfc5d12,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999919038437239
5fb5b66d1a5665d3c6ee40f89bd51c41,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unknown,0.884623799894481
68dd3ea640916aac89c50dbdc0047c32,Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,Subgroup_5,uncultured_Acidobacteria,0.813901669107301
aac6051f0f7add4d2f16ec358b280a57,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Unknown,Unknown,0.999999997043199
5a22ca06028586c5d164bc819efa0d3b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Unknown,0.940409111530846
b044573a4ae0a159b0a169fdc55a3da7,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Unknown,Unknown,0.999999933465039
f70857804674c58b41ddca2f7b1e311b,Bacteria,Chloroflexi,Ktedonobacteria,C0119,C0119,C0119,uncultured_bacterium,0.99714773117051
f98c88526d9048e0c95acd390099591e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,Unknown,0.852945442105786
4695a3ff6f02feb0535536dc278d5623,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Unknown,Unknown,0.999989299759734
200ab6e038ec81539a9ce7197f39c269,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unknown,0.999985924369212
35f8041d8e17a62d8a232afc038ef736,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,0.721844117992185
133d7286afcf5b8a253d7809009dabc0,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Kouleothrix,uncultured_bacterium,0.990547556556464
