Soil_type	Genotype	pink	white	total
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
UF	nsp1	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
