"","Fresh_weight","Genotype","Treatment","Host"
"390",0.0186,"nsp2","Lj_SC","Lotus"
"391",0.0288,"nsp2","Lj_SC","Lotus"
"392",0.0203,"nsp2","Lj_SC","Lotus"
"393",0.0198,"nsp2","Lj_SC","Lotus"
"394",0.0269,"nsp2","Lj_SC","Lotus"
"395",0.0249,"nsp2","Lj_SC","Lotus"
"396",0.0197,"nsp2","Lj_SC","Lotus"
"397",0.0245,"nsp2","Lj_SC","Lotus"
"398",0.0233,"nsp2","Lj_SC","Lotus"
"399",0.0436,"nsp2","Lj_SC","Lotus"
"400",0.0327,"nsp2","Lj_SC","Lotus"
"401",0.0298,"nsp2","Lj_SC","Lotus"
"402",0.0256,"nsp2","Lj_SC","Lotus"
"403",0.018,"nsp2","Lj_SC","Lotus"
"404",0.0237,"nsp2","Lj_SC","Lotus"
"405",0.0267,"nsp2","Lj_SC","Lotus"
"406",0.0275,"nsp2","Lj_SC","Lotus"
"407",0.023,"nsp2","Lj_SC","Lotus"
"408",0.0288,"nsp2","Lj_SC","Lotus"
"409",0.0178,"nsp2","Lj_SC","Lotus"
"410",0.0346,"nsp2","Lj_SC","Lotus"
"411",0.0283,"nsp2","Lj_SC","Lotus"
"412",0.0339,"nsp2","Lj_SC","Lotus"
"413",0.0255,"nsp2","Lj_SC","Lotus"
"414",0.0236,"nsp2","Lj_SC","Lotus"
"415",0.0114,"nsp2","Lj_SC","Lotus"
"416",0.0167,"nsp2","Lj_SC","Lotus"
"417",0.027,"nsp2","Lj_SC","Lotus"
"418",0.0176,"nsp2","Lj_SC","Lotus"
"419",0.0211,"nsp2","Lj_SC","Lotus"
"420",0.0273,"nsp2","Lj_SC","Lotus"
"421",0.0368,"nsp2","Lj_SC","Lotus"
"422",0.0194,"nsp2","Lj_SC","Lotus"
"423",0.0244,"nsp2","Lj_SC","Lotus"
"424",0.0183,"nsp2","Lj_SC","Lotus"
"425",0.0176,"nsp2","Lj_SC","Lotus"
"426",0.0183,"nsp2","Lj_SC","Lotus"
"427",0.0109,"nsp2","Lj_SC","Lotus"
"428",0.0197,"nsp2","Lj_SC","Lotus"
"429",0.0321,"nsp2","Lj_SC","Lotus"
"430",0.0258,"nsp2","Lj_SC","Lotus"
"431",0.0278,"nsp2","Lj_SC","Lotus"
"432",0.0197,"nsp2","Lj_SC","Lotus"
"433",0.022,"nsp2","Lj_SC","Lotus"
"434",0.014,"nsp2","Lj_SC","Lotus"
"435",0.0223,"nsp2","Lj_SC","Lotus"
"436",0.044,"nsp2","Lj_SC","Lotus"
"437",0.017,"nsp2","Lj_SC","Lotus"
"438",0.0179,"nsp2","Lj_SC","Lotus"
"439",0.0238,"nsp2","Lj_SC","Lotus"
"440",0.0287,"nsp2","Lj_SC","Lotus"
