"","ASVid","Lfc_symrk","Lfc_ccamk","Lfc_nsp1","Lfc_nsp2","DA_symrk","DA_ccamk","DA_nsp1","DA_nsp2","kingdom","phylum","class","order","family","genus","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_4_endo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_4_endo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_4_endo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_4_endo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_4_endo"
"31","LjRoot1",-0.296261910484659,-0.994633987157831,-0.167866471243368,-0.922914258975797,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",0.00127472850734195,0.00148179963491893,0.00164481413600263,0.00114678899082569,0.00116796722920934,0.00103283664806721,0.00128791131089169,0.00100861439025143,0.000984765104558883,0,0.00110984058653393,0.000710347916055407,0.000641838224675471,0.00200720659718024,0.000719343598965944,0.00239808153477218,0.000582188362886324,0.000682215494819426,0.00103488566182607,0.00067092517786506
"32","LjRoot10",-0.797686717198881,0.0145698915132153,-1.88221077472357,-0.972536615031551,0,0,-1,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer",0.00312553624396342,0.00298507462686567,0.00249071854880399,0.00737542723511423,0.00123567547438089,0.00168780622976837,0.0015025631960403,0.00598993444006463,0.00564791751144065,0.00219106047326906,0.00376673168763032,0.00382970180829872,0.00101089520386387,0.00106406132862567,0.00170844104754412,0,0.00241192321767191,0.00228115806080246,0.00190285428142213,0.00110423102190291
"33","LjRoot100",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",0,0,0,0,0,2.51911377577368e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","LjRoot11",-0.177753158304374,-0.072170916434896,0.619571379868987,-0.0426258482193029,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",0.00230431691711813,0.00261999355739289,0.00126885661920203,0.00206871739521497,0.00123567547438089,0.00102024107918834,0.00199499987373419,0.00384920185667384,0.00338875050686439,0.00131463628396144,0.00132844555054819,0.00219281313217104,0.00186133085155886,0.00140262629682474,0.00305721029560526,0.0109912070343725,0.00242855717089724,0.0030060120240481,0.00176932064763812,0.00109025341403072
"35","LjRoot122",0.337437131891502,1.93721762253452,-0.445586039304477,0.331784739477949,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00496408697570662,0.00261999355739289,0.0019972743080032,0.00150656592912394,0.00135416490343112,0.0011965790434925,0.00205813278113084,0.0299085042660272,0.016943752534322,0.00323181419807187,0.0144111118584785,0.0106706610868323,0.000754159913993678,0.00215230586926556,0.00112397437338429,0.00619504396482814,0.004524435277288,0.00172685797126167,0.00303789016858621,0.00413737193016787
"36","LjRoot149",0.249191070438766,1.43642590706011,1.32231850028353,0.366091879674045,0,1,1,0,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",0.0850268428406834,0.0391925265757543,0.0613750646176982,0.0499415362475265,0.0514582663303824,0.0524731399493658,0.0615167049672972,0.122711320152733,0.149481550136129,0.0922984224364592,0.157193784892715,0.252791204039718,0.131512652236004,0.113612730042804,0.178622007418231,0.148681055155875,0.125353471506038,0.081631347801987,0.0764480053413454,0.0360342730945026
"37","LjRoot152",1.28100053799325,0.612343499889836,-0.0511752543573503,-0.720110029439102,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.000392224156105214,0,0,0.000584637524734665,0.000457030654908001,0,0.000934367029470441,0.00233628027129669,0.00115854718183398,0,0,0.00108096422008432,0.000433240801655943,0.000459481028270175,0,0,0.000249509298379853,0,0,0
"38","LjRoot153",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","LjRoot17",-0.253544869677844,0.495180868102191,0.0238007040112663,-0.241878588795243,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",0.0187654744686588,0.0183184795447224,0.0157667183608252,0.0104785033279367,0.00678775157844847,0.00479891174284887,0.0110987651203313,0.0777765198686743,0.0350170885709321,0.0109553023663453,0.0307224053272348,0.0190249702734839,0.0117135476003273,0.0181132257986506,0.0111048668090368,0.0255795363709033,0.0202435210752187,0.0115976634119302,0.0158905024202971,0.00778552758480914
"40","LjRoot18",0.307599491501832,-1.49721453456247,0.991664121731876,1.4736279839182,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dyella",0.00323584928786802,0.00176097927628047,0.00552187602800884,0.00301313185824789,0.00319921458435601,0.00859017797538826,0.00289148715876664,0.00279941953212643,0.00060823727046284,0.00679228746713409,0.00146297168224928,0.000247077536019272,0.0052149355754882,0.00689221542405262,0.00539507699224458,0.00759392486011191,0.00422502411923218,0.0134097983200443,0.0162243365047571,0.00613616985589086
